,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 temperature, C","1 pressure, kPa","1 mass flow, kg/h","1 Methane mass flow, kg/h","1 Ethane mass flow, kg/h","1 Propane mass flow, kg/h","1 i-Butane mass flow, kg/h","1 n-Butane mass flow, kg/h","1 i-Pentane mass flow, kg/h","1 n-Pentane mass flow, kg/h"
568084,-8.0,3615.0,22351.0,16.385499282822256,365.398070601043,0.4865051497537715,0.0743535444960319,0.0807105137092149,0.2607425147154751,0.0677269359569529,0.0143479400152902,0.0156134013532633,10873.876602146547,1661.876073030809,1803.9606919146624,5827.855946405584,1513.764745573854,320.69080728175123,348.975133646788,-8.0,3615.0,13709.569632780647,10132.108987937541,1186.6698477049501,752.5341515121333,1329.7008342932183,261.56632997598973,25.756694015544856,21.23278734126564
315396,-21.0,4154.0,6181.0,4.261547374572985,87.33192463726238,0.5538695661481928,0.0791105318683793,0.1673348522782817,0.0654339381108443,0.1064255410985664,0.021716318031569,0.0061092524641661,3423.4677883619797,488.9821974784524,1034.2967219320592,404.44717146312865,657.816269530239,134.228561753128,37.761289481010664,-21.0,4154.0,4006.761160260268,3147.4332464786917,323.9298671033211,364.39698292371924,73.45082214635173,87.81200559161758,8.05971595165209,1.6785200649131748
581962,0.0,3547.0,23542.0,18.96858288173575,367.3865770758756,0.423429756653996,0.1055148767538037,0.0757847457734407,0.1511853520800773,0.2295902374125404,0.0042681105977634,0.010226920728378,9968.383331148374,2484.0312285380464,1784.124484998341,3559.20555866918,5405.013369166026,100.47985969254596,240.76216778747488,0.0,3547.0,13586.93295111725,9225.60592937318,1757.147614383963,750.9854377557151,844.3135883467927,983.8108334707014,8.818433696896628,16.251114089996175
19970,-16.0,4489.0,18945.0,23.56042871120781,139.52277276964043,0.3518468108674601,0.1625676574549658,0.0599547908679766,0.1133641618482285,0.2803970145276593,0.0162504134911523,0.0156191509425572,6665.737831884032,3079.844270484327,1135.8435129938166,2147.6840462146893,5312.121440226506,307.86408358988035,295.9048146067462,-16.0,4489.0,7086.878371047456,5186.376115023022,1230.1191260258574,187.67760381081803,168.00073522855354,301.22279180886994,7.846016742415127,5.635982407919819
291733,-20.0,4179.0,16913.0,19.324039021704344,151.40523643665324,0.3898775477354785,0.125583468598975,0.0582268911575483,0.2378326350528448,0.1742478436317366,0.0043932417383125,0.009838372085104,6593.998964850148,2123.9932044144643,984.7914101476143,4022.463356648764,2947.053779343561,74.30289752007931,166.39638707536395,-20.0,4179.0,7002.326268578784,5384.9711100198065,931.270540961638,176.73713096776305,330.90676530708214,173.44709770780116,1.885355049731123,3.108268564961033
70963,10.0,4258.0,20880.0,9.7073232776671,332.62658984073937,0.4568316161973965,0.1962653187563743,0.1072741122297061,0.0514029991080121,0.1694523394315734,0.0120798102550336,0.0066938040219035,9538.64414620164,4098.019855633095,2239.8834633562633,1073.2946213752925,3538.1648473312525,252.22643812510157,139.76662797734508,10.0,4258.0,16114.21387990572,9143.13193435463,3467.5002715844853,1471.8098020720472,511.2152058797431,1430.4517810558661,61.798493869066824,28.306391089876907
448082,4.0,3626.0,10018.0,2.340362882693467,213.25839184929384,0.5011951141649725,0.2145336802580273,0.1289537860749856,0.0850319651797922,0.0431135853134353,0.0135184631746011,0.0136534058341856,5020.9726537046945,2149.1984088249174,1291.8590288992057,851.8502271711582,431.91189766999486,135.42796408315382,136.77981964687135,4.0,3626.0,8839.700573388202,4935.458290291182,1988.482554072816,1032.6103782172202,545.8567959759823,244.48433472918873,50.21287681659267,42.59534328521655
556736,-17.0,4119.0,6553.0,6.851674985223495,67.62447486820307,0.4188465775095428,0.0856250893150904,0.0713826651741513,0.1501077958014238,0.2607013859986253,0.0027724676644497,0.0105640185367164,2744.701622420034,561.1012102817874,467.7706048862135,983.6563858867302,1708.3761824489916,18.167980605138883,69.22601347110258,-17.0,4119.0,2961.1023461880563,2343.725549096543,282.64423168615116,103.16788384723507,102.04030590928309,127.28593084608313,0.588030029538844,1.6504147732217025
591170,-4.0,4027.0,22998.0,14.919261522899312,349.2947545664484,0.47669083170857,0.1583880570739806,0.0806838683869337,0.1009138151777161,0.1534015247576722,0.015554178305233,0.0143677245898941,10962.935747633694,3642.608536587406,1855.5676051627013,2320.8159214571147,3527.928266376945,357.71499266374855,330.4289301183845,-4.0,4027.0,15382.718209888695,10264.107502156192,2720.5292918771997,884.2062159040677,660.3129028066504,784.652455660317,40.13069670674911,28.779144777513153
243269,-23.0,3683.0,26722.0,14.395967896088528,495.29433542989153,0.6246553918900786,0.0483744793500292,0.0799009997176534,0.0932554259161568,0.13043172311042,0.0098661463137857,0.0135158337018762,16692.041382086678,1292.6628371914803,2135.114514455134,2491.971491331542,3485.396504956643,263.6431617969815,361.1701081815358,-23.0,3683.0,18921.452129695885,15874.38372691177,966.5032939518286,916.5698796736868,557.7633939367907,569.0156140898775,18.66169116148917,18.554529970434377
409571,-16.0,3556.0,28984.000000000004,27.56678367598352,376.7216573352164,0.4066782096156238,0.1515634950810714,0.0611417123639895,0.1597883337368654,0.2049321603616028,0.0072492293245093,0.0086468595163376,11787.161227499242,4392.916341429774,1772.1313911578718,4631.305065029307,5939.753735920696,210.11166274157756,250.620576221529,-16.0,3556.0,14515.701080097671,10439.780956361772,2487.7217980684522,464.1601119557282,576.4238708255577,532.42914290202,8.089257039812935,7.095942944324067
503336,-14.0,4470.0,8059.0,7.924726860428326,81.40327101637311,0.4302503265651471,0.1405823208681549,0.0425141385716618,0.0454275963738409,0.3188952127499559,0.0102831511088796,0.0120472537623597,3467.3873817885205,1132.9529238764603,342.62144274902244,366.10099917678383,2569.976519551895,82.8719147864607,97.08881807085683,-14.0,4470.0,3990.855337382431,2991.058364962972,612.7032121477608,88.50170379869684,47.4305211914304,244.37811589035837,3.612224729933307,3.1711946612782658
387465,-22.0,3728.0,8228.0,3.6126569035665246,149.7834016576873,0.5775017600364899,0.19156074092194,0.0633414108090438,0.1294404715209831,0.0190681134901937,0.0094428095143736,0.0096446937069756,4751.684481580239,1576.1617763057222,521.1731281368125,1065.036199674649,156.89243779731376,77.69543668426597,79.35653982099524,-22.0,3728.0,6397.950024637933,4543.599883954969,1240.1660845108718,261.0038816591228,305.06606321106494,34.178104954159366,7.900841005870012,6.035165341874002
596729,2.0,4692.0,19346.0,19.482246304468,189.37405968847983,0.3929956551178534,0.1130051432646221,0.0810911895114872,0.1694696685304952,0.2352334357244049,0.0031946751016482,0.0050102327494887,7602.893943909991,2186.1975015973794,1568.7901522892312,3278.56020739096,4550.826047524337,61.804184516486075,96.92796277160839,2.0,4692.0,9700.519639893002,6589.414956898421,1302.773286588945,520.8510497865041,614.9220904440135,662.3511955320502,4.570733764066001,5.636326878998674
83526,-24.0,3567.0,29626.0,29.3033330618458,361.6081608884981,0.416758794302215,0.1597958062153053,0.0348137081167954,0.1997044050157097,0.1716450962704253,0.0103011645265987,0.0069810255529502,12346.896039997422,4734.110554934635,1031.3909166681806,5916.442702995416,5085.157622107619,305.1823002650131,206.81986303170262,-24.0,3567.0,14214.444119011654,10715.839741940179,2395.9922296772875,215.08606402085866,546.1561076180514,329.3444904679412,8.081425542557826,3.9440597447783383
98912,-2.0,3962.0,7371.0,8.765706570389188,67.34728379015642,0.3135737641348216,0.1362246343678769,0.0911753120927814,0.1310127560564328,0.312170251640506,0.0064830599071037,0.0093602218004773,2311.3522154377697,1004.1117799256207,672.0532254358917,965.6950248919662,2301.0069248421696,47.78663457526137,68.99419489131817,-2.0,3962.0,2892.2476726084133,1917.2101537187789,497.8957157341019,157.04971387387727,113.8714541107094,202.1073696367273,1.955647649316972,2.157617884901146
192866,-8.0,3795.0,29903.000000000004,29.062990452397184,364.455396959233,0.3931172136872044,0.1329514370748438,0.0459547487168026,0.1167451840568721,0.2893778419027683,0.0079937216670039,0.0138598528945046,11755.384040888475,3975.646822849055,1374.1848508785483,3491.031238852647,8653.265606418481,239.03625900841766,414.4511811043711,-8.0,3795.0,14637.310219186224,10410.87815773407,2337.115256969062,402.2399723308474,516.1324320558798,943.7453281879374,11.812974524249737,15.386097384169732
371076,-15.0,3875.0,27582.0,16.62603580895754,461.3859296146663,0.5646943588879663,0.0644797642730397,0.1348121176695202,0.078163848692119,0.1264661831814234,0.0212223161556862,0.0101614111402449,15575.399806847885,1778.480858178981,3718.387829560706,2155.915274626026,3488.190264510021,585.3539242061369,280.2720420702348,-15.0,3875.0,18842.22527508103,14676.091271005433,1313.1042614353496,1632.6373939436069,520.8923361920482,632.8209987272917,49.10126875077963,17.57774502651494
587452,-2.0,4863.0,8863.0,4.367856647893831,122.90532128114108,0.5401296165202458,0.1597820138622038,0.0501707008566861,0.1299216223663711,0.1021846736676373,0.0086768219681215,0.009134550758734,4787.168791218939,1416.1479888607123,444.66292169280894,1151.495339033147,905.6627627162694,76.90267310346086,80.95952337465944,-2.0,4863.0,6724.99769232609,4541.280100139263,1143.4905377039668,260.56033038705414,457.15808574383385,296.0894954537415,14.290702495317289,12.128440402910352
94136,-22.0,3977.0,17277.0,18.977519346462508,171.81819673256751,0.4028310583811513,0.1483337203874591,0.1317267401399999,0.2858039042312794,0.0167973783291964,0.0086848596613655,0.0058223388695481,6959.712195651151,2562.7616871341306,2275.8428893987784,4937.834053403814,290.20830539352625,150.04832036941175,100.59254864918252,-22.0,3977.0,7819.050864075333,5760.729232099148,1171.0678758452848,432.4692979054004,430.5897863988123,18.169556877245604,4.032123451154671,1.9929914982855068
45861,-3.0,3786.0,19639.0,17.135033092359222,272.0665577250611,0.4282735940332754,0.0834568316568993,0.0972530481617512,0.0926954285604443,0.2880281330868486,0.0038165775959538,0.0064763869048272,8410.865113219495,1639.0087169098451,1909.9526128486318,1820.4455214985655,5656.58450569262,74.95376740693668,127.18976242390139,-3.0,3786.0,10653.75511746139,7654.87097819227,1081.3670368173987,699.7926382099186,360.34887889690924,845.2565895106734,5.284751681019315,6.83424415319587
295286,-4.0,3727.0,21883.0,14.753034163000049,363.33566268450943,0.48462357903557,0.113210260687091,0.0826386198755731,0.048416503373406,0.2455930279068291,0.0090453697157487,0.0164726394057817,10605.01778003538,2477.3801346156124,1808.380918737166,1059.4983433202435,5374.312229685142,197.93982548972878,360.47076811672093,-4.0,3727.0,14101.279159688893,9967.440918667142,1849.1767337565302,840.2691424671926,284.96282562566194,1111.7439885231124,19.920764679438573,27.764785969810834
217004,1.0,4069.0,11879.0,5.516432449613606,196.83485360266505,0.486280686407306,0.1845579374353541,0.0789724702041447,0.2354446664655095,0.0038814509542779,0.0052339789659671,0.0056288095674404,5776.528273832388,2192.3637387945714,938.1139735550349,2796.8471929437874,46.10775588586718,62.17443613672318,66.8646288516245,1.0,4069.0,9178.300593761598,5529.359195862894,1826.2882449079939,583.8978243656844,1198.7581263784132,16.430430966106194,12.596320629464202,10.97045065103989
210239,-13.0,3563.0,28343.0,19.63015307882796,480.4254807523605,0.5029744912704021,0.1152573306716712,0.0656420246306196,0.0365905625534629,0.2602087057809647,0.0132013363225976,0.0061255487702818,14255.806006077006,3266.7385232271768,1860.4919041056514,1037.086314452799,7375.095347949883,374.1654753913838,173.61642879609707,-13.0,3563.0,17818.18714592968,13341.502304278476,2320.9722385013742,745.2283227195991,219.677053423451,1155.3512158352198,26.378404710449242,9.077606461109598
309923,-19.0,4421.0,20498.0,21.79783144718578,189.50293550097103,0.4126815606631508,0.1865739702669882,0.0778717736811697,0.1430103522042125,0.1634334341735338,0.0069673819934185,0.0094615270175262,8459.146630473266,3824.393242532724,1596.2156169166165,2931.4261994819476,3350.0585336890954,142.8173961010924,193.94238080525204,-19.0,4421.0,9775.226483084967,7023.529307726778,1836.5257252534195,342.8856091494743,306.43524925104595,255.8938958470382,4.937928140584733,5.0187677166252875
346303,-13.0,3866.0,7163.0,5.956620164194383,99.28904167106415,0.4750920534599031,0.0777236013962255,0.0939300676304954,0.2108382711705293,0.1185852685988287,0.0110077264667843,0.0128230112772334,3403.0843789332857,556.7341568011633,672.8210744372385,1510.2345363945014,849.42627897341,78.84834468157594,91.85122977882284,-13.0,3866.0,4044.272982387972,3091.837882529415,355.7354082330823,224.24989899317512,257.21438946477815,106.89562942235212,4.458703718022013,3.8810700271475134
503628,-3.0,3947.0,19226.0,15.798066212130944,269.40039013894034,0.4551227664776394,0.0795031552806913,0.0665530392097869,0.1355287315664542,0.2414110283094679,0.0090753139629513,0.0128059651930086,8750.190308299096,1528.5276634265708,1279.5487318473631,2605.6753930966483,4641.36843027783,174.4819862517017,246.20748680078333,-3.0,3947.0,10930.839814758549,8024.212126152663,1042.7320337674944,502.2288197741589,565.744035074358,767.1860991176026,13.814744622406232,14.921956249865046
563812,-19.0,4366.0,18165.0,18.96662791113764,173.0188530282121,0.4144943829989562,0.1890360192155295,0.0663841463930668,0.1647485327013265,0.1420307999963175,0.0076319989824147,0.0156741197123885,7529.290467176039,3433.8392890500936,1205.8680192300585,2992.657096519596,2579.9894819331075,138.63526151556303,284.7203845755371,-19.0,4366.0,8787.413870941495,6301.570510960269,1683.8158481705636,266.12311525389003,321.19628166310645,202.27852979924185,4.902058782536174,7.527526311887043
