,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 actual vapour flow, m3/h","1 mass flow, kg/h"
21625,-11.0,4698.0,28280.0,7.574031545206707,479.82916557617307,0.6753217403967989,0.1088168970376905,0.0408957442841438,0.0869707207635956,0.0618138599300587,0.0106261369920478,0.0155549005956644,19098.098818421473,3077.341848225887,1156.5316483555866,2459.531983194484,1748.09595882206,300.50715413511176,439.89258884538924,479.82916557617307,24391.454782172696
498716,-13.0,3829.0,17684.0,15.2378511443578,231.00099669011664,0.4252429656285987,0.1778050455094212,0.1155662465837988,0.1755560327305331,0.0835032664673634,0.0146338818388048,0.0076925612414798,7519.996604176139,3144.3044247886046,2043.673504587898,3104.5328828067472,1476.6717642088545,258.78556643742405,136.0352529943288,231.00099669011664,10031.459943458634
332496,6.0,3780.0,7987.0,4.748932726535469,133.00306300390227,0.4267957009435312,0.2087982012290637,0.0646626963029713,0.0431490470722124,0.2457109085117287,0.0043281633673258,0.0065552825731665,3408.8172634359835,1667.6712332165318,516.4609553718318,344.6314389657604,1962.493026283177,34.56904081483117,52.357041911880835,133.00306300390227,5575.873859107417
365462,-5.0,4294.0,24208.0,18.73387197239008,317.6576518875078,0.4747017466558778,0.0979358029263118,0.0868801318076215,0.239508925910088,0.0780682903359326,0.0137064179434095,0.0091986844207587,11491.57988304549,2370.8299172401557,2103.194230798901,5798.03207843141,1889.8771724522564,331.8049655740572,222.68175245772662,317.6576518875079,14734.331933895168
584508,-9.0,4137.0,21444.0,12.370643138411122,351.9825673886278,0.5836546537421794,0.0297357790219962,0.0819300892807822,0.2225739299619867,0.0680719039642149,0.0064335296273846,0.0076001144014558,12515.890394847294,637.6540453476865,1756.9088345370935,4772.875354104843,1459.7339086086245,137.96060932963536,162.97685322481817,351.9825673886278,14995.322267497446
156216,6.0,3879.0,10562.0,8.008030994928502,157.07874678175386,0.428760562008282,0.1031885865556084,0.0937854819302449,0.1463567201348974,0.2103383631651842,0.0129210562796121,0.0046492299261707,4528.569055931474,1089.877851200336,990.5622601472467,1545.8196780647863,2221.5937917506753,136.47219642526298,49.10516648021494,157.07874678175386,6457.391529368181
13249,-25.0,4831.0,20620.0,25.200102182967026,143.29270770866992,0.4100835804700373,0.1007154378849385,0.0791501213247596,0.1303868397949599,0.259016943121385,0.0095481063853916,0.0110989710185278,8455.923429292168,2076.7523291874318,1632.075501716543,2688.5766365720733,5340.929367162959,196.8819536667748,228.86078240204324,143.29270770866992,7914.48216068585
150743,-16.0,3772.0,16698.0,18.4949046734708,173.65256438110848,0.3788608066096997,0.0835198781043561,0.057578241008517,0.2070684248163505,0.2430937283968474,0.0142746563769631,0.0156042646872659,6326.217748768765,1394.614924586538,961.4414683602168,3457.6285575834204,4059.179076770558,238.35821218252983,260.560011747966,173.65256438110848,6825.973935961853
588286,-15.0,4109.0,18099.0,17.1689831236053,205.96971974403093,0.4328387158089106,0.1342392492863566,0.0266112987531544,0.2018297739564176,0.17267594986593,0.0162791575324471,0.0155258547967833,7833.947917425473,2429.5961728337684,481.6378961333415,3652.917078837202,3125.262016623467,294.63647217976006,281.00244596698093,205.96971974403093,9181.60842598943
374418,-9.0,3788.0,23966.0,25.98320111023098,256.21915666727017,0.3526631683751383,0.1544368061125906,0.0976882763685026,0.2062219851297781,0.1734056689952619,0.0069888859399259,0.0085952090788022,8451.925493278564,3701.232495294347,2341.1972314475333,4942.316095620262,4155.840263140447,167.49564043626413,205.99278078257353,256.21915666727017,10715.982220371396
206730,6.0,3753.0,21358.0,12.0736874444692,368.2111281730357,0.4526040048573693,0.1416023580285569,0.0913995654031959,0.2527139458687952,0.0417209538425071,0.0104958005882186,0.0094633714113568,9666.716335743693,3024.3431627739183,1952.1119178814579,5397.464455865728,891.0761321682666,224.16930896317285,202.1186866037585,368.2111281730357,15279.524093003636
613956,-8.0,3932.0,13957.0,14.497700235075714,152.91059016639818,0.3774067726163106,0.1266538269452849,0.0872807998123764,0.080269500554791,0.3084956341332629,0.0142541084721456,0.0056393574658284,5267.466325405847,1767.7074626753415,1218.1781229813373,1120.3214192432179,4305.673565597951,198.94459194573614,78.70851215056699,152.91059016639818,6434.102796090421
530542,-5.0,4668.0,23217.0,20.07976263340897,261.19622874635775,0.4665588090312124,0.0804150266424432,0.0889480225075595,0.1856960599726994,0.1553225015236781,0.0119489051008885,0.0111106752215188,10832.095869277658,1866.9956735576036,2065.106238558009,4311.305424386162,3606.1225178752347,277.4177297273283,257.956546618002,261.19622874635775,13098.126970355162
578118,-6.0,4598.0,9221.0,5.288665381428672,132.1062083345246,0.5558926354540301,0.0870097055135168,0.1084224559858362,0.0828875935278963,0.1489121068221054,0.0063905988668493,0.0104849038297656,5125.885991521612,802.3164945401385,999.7634666453956,764.3064999207319,1373.118537006634,58.92771215121739,96.6812982142686,132.1062083345246,6553.773698572078
575585,-25.0,3840.0,8208.0,8.233298170861277,92.67518998460147,0.4400843840357418,0.1065899213009637,0.0690051901736348,0.1705395303741692,0.2013313703923415,0.003928862653658,0.0085207410694906,3612.2126241653687,874.8900740383101,566.3946009451944,1399.7884653111807,1652.527888180339,32.248104661224865,69.93824269837886,92.67518998460147,3873.0848326608
450694,-22.0,4746.0,6395.0,7.207358561630291,51.73411046754831,0.4276579911176049,0.1520593776805938,0.0955612110134213,0.192785928810185,0.1153765740108647,0.0063902347272349,0.0101686826400951,2734.8728531970833,972.4197202673973,611.1139444308292,1232.866014741133,737.8331907994797,40.86555108066718,65.02872548340817,51.73411046754831,2896.7023508878665
412349,-5.0,4430.0,28232.0,29.45854532347752,273.5509817097686,0.3770962726465642,0.1649184013489031,0.0964589870779324,0.1702255621993535,0.1765075030831017,0.0039341506887123,0.0108591229554326,10646.1819693578,4655.976306882232,2723.2301231841875,4805.808072012148,4983.159827042127,111.06894224372564,306.5747592777732,273.5509817097686,13741.567133727987
515545,-12.0,3618.0,29828.0,26.30986645444701,414.9297657396176,0.4263838007367581,0.142584023963002,0.0168631959182641,0.1589663632680364,0.2451660123006758,0.0028020350972517,0.0072345687160116,12718.17600837602,4252.996266768423,502.99540784998163,4741.648683558989,7312.811814904558,83.57910288082371,215.792715661194,414.9297657396176,15888.822300619831
